BlueMove Souffl3 liquidSwap Aries Big_Shark
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be H-S3 M-lp N-As Yes
H-Be H-S3 L-lp N-As Yes
N-Be L-S3 N-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be H-S3 N-lp N-As Yes
N-Be M-S3 N-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be L-S3 H-lp L-As No
N-Be L-S3 H-lp N-As No
N-Be M-S3 H-lp N-As Yes
N-Be H-S3 L-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 N-lp N-As Yes
N-Be L-S3 H-lp M-As No
N-Be N-S3 M-lp L-As No
N-Be L-S3 H-lp N-As Yes
L-Be H-S3 M-lp N-As No
L-Be L-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
H-Be L-S3 M-lp N-As Yes
N-Be M-S3 H-lp N-As Yes
N-Be L-S3 H-lp L-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 L-lp N-As Yes
L-Be M-S3 M-lp N-As No
L-Be L-S3 N-lp N-As No
N-Be H-S3 L-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be H-S3 N-lp N-As No
H-Be L-S3 N-lp N-As Yes
L-Be M-S3 L-lp N-As No
N-Be H-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be N-S3 M-lp N-As Yes
N-Be L-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
L-Be L-S3 N-lp N-As No
L-Be H-S3 L-lp N-As No
N-Be L-S3 H-lp M-As Yes
N-Be N-S3 M-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
H-Be M-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be H-S3 L-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be H-S3 M-lp N-As Yes
N-Be L-S3 H-lp M-As Yes
N-Be N-S3 L-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be H-S3 M-lp N-As Yes
H-Be L-S3 N-lp N-As Yes
N-Be L-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 N-lp N-As No
N-Be L-S3 M-lp N-As Yes
N-Be N-S3 L-lp N-As No
L-Be L-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be H-S3 L-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be M-S3 H-lp N-As No
L-Be N-S3 H-lp N-As Yes
N-Be H-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be M-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be M-S3 M-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be H-S3 N-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be H-S3 N-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be N-S3 M-lp N-As Yes
L-Be L-S3 M-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
L-Be M-S3 M-lp N-As No
N-Be N-S3 M-lp N-As Yes
H-Be H-S3 N-lp N-As No
N-Be L-S3 H-lp M-As No
L-Be H-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be L-S3 N-lp N-As Yes
N-Be L-S3 N-lp N-As No
M-Be H-S3 N-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be H-S3 M-lp N-As No
M-Be L-S3 N-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be L-S3 M-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 N-lp N-As Yes
N-Be H-S3 N-lp N-As Yes
N-Be L-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 N-lp N-As Yes
N-Be H-S3 N-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As No
L-Be L-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 H-lp N-As Yes
L-Be L-S3 H-lp N-As Yes
M-Be N-S3 L-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As No
L-Be H-S3 L-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
L-Be N-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be L-S3 H-lp N-As No
M-Be L-S3 L-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
M-Be N-S3 L-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be N-S3 L-lp N-As No
L-Be H-S3 N-lp L-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 N-lp H-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 L-lp N-As Yes
L-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
L-Be L-S3 N-lp N-As No
L-Be H-S3 M-lp N-As Yes
N-Be H-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 N-lp N-As No
N-Be L-S3 M-lp N-As No
L-Be H-S3 N-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be H-S3 N-lp N-As No
N-Be H-S3 H-lp N-As No
L-Be L-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 N-lp N-As No
L-Be H-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
L-Be N-S3 N-lp N-As No
H-Be N-S3 N-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
L-Be N-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 N-lp N-As Yes
N-Be H-S3 N-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be H-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be N-S3 H-lp H-As Yes
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
M-Be M-S3 L-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be H-S3 L-lp N-As No
N-Be H-S3 H-lp N-As Yes
L-Be H-S3 H-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 M-lp N-As Yes
N-Be H-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be H-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
L-Be H-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
L-Be M-S3 N-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be M-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be L-S3 N-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be L-S3 L-lp N-As No
N-Be H-S3 N-lp N-As No
N-Be M-S3 H-lp N-As Yes
H-Be L-S3 N-lp N-As No
N-Be N-S3 N-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be L-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be H-S3 N-lp M-As Yes
N-Be N-S3 L-lp N-As Yes
L-Be L-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be N-S3 N-lp N-As No
L-Be L-S3 H-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be H-S3 N-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 L-lp N-As No
N-Be H-S3 H-lp N-As Yes
N-Be L-S3 L-lp N-As No
L-Be N-S3 H-lp N-As Yes
N-Be H-S3 M-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As No
H-Be L-S3 L-lp N-As Yes
N-Be H-S3 M-lp N-As No
N-Be N-S3 N-lp H-As Yes
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be H-S3 L-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
L-Be M-S3 M-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be N-S3 N-lp M-As No
N-Be H-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As Yes
N-Be L-S3 L-lp N-As Yes
H-Be L-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be H-S3 M-lp N-As No
L-Be L-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 H-lp N-As Yes
M-Be N-S3 N-lp N-As Yes
N-Be N-S3 N-lp H-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 N-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be L-S3 N-lp N-As No
L-Be M-S3 H-lp N-As No
L-Be N-S3 L-lp N-As No
N-Be L-S3 L-lp H-As No
M-Be M-S3 N-lp M-As Yes
N-Be M-S3 H-lp N-As No
M-Be H-S3 L-lp N-As No
H-Be L-S3 N-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 H-lp N-As Yes
N-Be H-S3 L-lp N-As No
N-Be H-S3 N-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be H-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be H-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be H-S3 N-lp N-As No
M-Be N-S3 L-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 N-lp N-As No
N-Be M-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
L-Be N-S3 L-lp N-As Yes
N-Be M-S3 H-lp N-As No
N-Be M-S3 L-lp N-As Yes
N-Be L-S3 L-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As No
H-Be N-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 N-lp N-As No
L-Be H-S3 N-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be H-S3 N-lp N-As No
N-Be N-S3 L-lp N-As No
L-Be L-S3 H-lp N-As No
N-Be H-S3 L-lp N-As Yes
N-Be N-S3 M-lp N-As No
L-Be H-S3 L-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 L-lp N-As No
H-Be L-S3 L-lp N-As No
L-Be L-S3 M-lp N-As No
H-Be N-S3 L-lp L-As No
N-Be H-S3 M-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be M-S3 M-lp M-As Yes
N-Be N-S3 N-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be L-S3 M-lp N-As Yes
L-Be N-S3 L-lp N-As No
N-Be H-S3 L-lp N-As No
H-Be L-S3 N-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be N-S3 M-lp M-As Yes
N-Be N-S3 H-lp N-As Yes
H-Be H-S3 N-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 M-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be M-S3 M-lp N-As No
H-Be N-S3 N-lp N-As Yes
N-Be H-S3 H-lp N-As No
N-Be N-S3 M-lp N-As No
L-Be N-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be M-S3 L-lp N-As Yes
N-Be M-S3 H-lp N-As No
M-Be M-S3 H-lp N-As No
N-Be L-S3 L-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be H-S3 L-lp N-As No
H-Be M-S3 N-lp N-As Yes
N-Be N-S3 H-lp N-As No
M-Be L-S3 L-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be N-S3 H-lp L-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 L-lp N-As Yes
L-Be H-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
H-Be M-S3 N-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
M-Be M-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
L-Be N-S3 H-lp N-As Yes
L-Be H-S3 N-lp N-As No
N-Be H-S3 H-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
H-Be L-S3 N-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be M-S3 L-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be H-S3 M-lp N-As No
N-Be M-S3 H-lp N-As No
L-Be N-S3 N-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be M-S3 H-lp N-As Yes
N-Be M-S3 L-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 H-lp L-As No
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be L-S3 M-lp N-As No
N-Be M-S3 L-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be M-S3 H-lp N-As No
N-Be M-S3 N-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 L-lp N-As Yes
N-Be H-S3 N-lp N-As No
H-Be M-S3 N-lp N-As No
N-Be N-S3 H-lp N-As No
L-Be L-S3 H-lp L-As No
M-Be H-S3 M-lp L-As No
H-Be N-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 N-lp N-As No
N-Be M-S3 M-lp N-As No
N-Be H-S3 N-lp N-As Yes
N-Be H-S3 N-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be M-S3 H-lp N-As No
L-Be L-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be L-S3 M-lp N-As No
N-Be N-S3 H-lp H-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As Yes
N-Be M-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 N-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be M-S3 M-lp N-As Yes
N-Be H-S3 M-lp N-As Yes
N-Be N-S3 H-lp N-As No
L-Be L-S3 L-lp N-As No
N-Be H-S3 L-lp N-As Yes
N-Be N-S3 L-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 L-lp N-As No
N-Be N-S3 M-lp N-As No
N-Be L-S3 M-lp N-As Yes
N-Be N-S3 M-lp N-As No
N-Be L-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As Yes
N-Be N-S3 H-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 L-lp N-As No
N-Be M-S3 M-lp M-As No
L-Be L-S3 M-lp N-As No
N-Be N-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be H-S3 N-lp H-As No
N-Be H-S3 M-lp L-As No
H-Be L-S3 L-lp N-As Yes
N-Be L-S3 H-lp N-As No
N-Be L-S3 H-lp N-As No
N-Be N-S3 L-lp N-As No
